City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
130,Sola,VU,-13.8833,167.55,77.56,78,100,24.32,overcast clouds,0,0
131,Turukhansk,RU,65.8167,87.9833,49.6,65,89,6.02,overcast clouds,0,0
132,Mahebourg,MU,-20.4081,57.7,68.25,94,20,5.75,few clouds,0,0
133,Meiktila,MM,20.8667,95.8667,77.29,86,99,13.78,overcast clouds,0,0
134,Kavaratti,IN,10.5669,72.642,81.5,74,52,18.59,broken clouds,0,0
135,Monaragala,LK,6.8714,81.3487,79.32,86,100,2.04,overcast clouds,0,0
136,Katsuura,JP,35.1333,140.3,78.91,91,100,29.51,moderate rain,2.73,0
137,Pachino,IT,36.7186,15.0907,85.6,68,6,5.08,clear sky,0,0
138,Galveston,US,29.3669,-94.9669,94.17,71,1,8.05,light rain,0.18,0
139,Port Alfred,ZA,-33.5906,26.891,56.82,63,100,10.22,overcast clouds,0,0
140,Sturgis,US,41.7992,-85.4192,82.38,39,75,3.44,broken clouds,0,0
141,Fortuna,US,40.5982,-124.1573,63.99,73,89,6.06,overcast clouds,0,0
142,Preobrazheniye,RU,42.9019,133.9064,58.42,79,8,10.11,clear sky,0,0
143,Nyurba,RU,63.2842,118.3319,61.41,83,100,3.65,overcast clouds,0,0
144,Tashtagol,RU,52.7657,87.8894,56.61,98,100,1.77,overcast clouds,0,0
145,Jobabo,CU,20.9692,-76.2994,84.22,86,100,12.19,overcast clouds,0,0
146,Tuktoyaktuk,CA,69.4541,-133.0374,39.49,78,100,10.22,overcast clouds,0,0
147,Amapa,BR,1,-52,80.62,81,100,3.31,overcast clouds,0,0
148,Lompoc,US,34.6391,-120.4579,95.02,58,1,12.66,clear sky,0,0
149,Saint-Francois,FR,46.4154,3.9054,81.84,71,0,3.44,clear sky,0,0
150,San Rafael,AR,-34.6177,-68.3301,64.51,21,0,10.51,clear sky,0,0
151,Conde,BR,-7.2597,-34.9075,80.06,65,20,14.97,few clouds,0,0
152,Aberystwyth,GB,52.4155,-4.0829,64.31,92,24,16.69,few clouds,0,0
153,Anadyr,RU,64.75,177.4833,50.77,94,100,6.22,overcast clouds,0,0
154,Port Augusta,AU,-32.5,137.7667,37.54,80,5,3.44,clear sky,0,0
155,Lorengau,PG,-2.0226,147.2712,81.46,76,25,9.4,scattered clouds,0,0
156,Bagan,RU,54.1001,77.6646,51.17,84,18,7.43,few clouds,0,0
