City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Dingle,PH,76.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
304,Tateyama,JP,78.82,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
308,East Peoria,US,82.99,broken clouds,40.6661,-89.5801,Mark Twain Hotel
311,Carberry,CA,75.49,few clouds,49.8689,-99.3602,Carberry Motor Inn
312,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
313,Port Blair,IN,82.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
315,Huron,US,88.07,broken clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
316,Ardino,BG,75.63,scattered clouds,41.5833,25.1333,Hotel Asara
317,Korla,CN,82.74,overcast clouds,41.7597,86.1469,Gulisitan Hotel
318,Pontian Kecil,MY,80.73,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
319,Outlook,CA,81.81,light rain,51.5001,-107.0513,Red Wheel Motel
329,Mataram,ID,77.81,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
330,Cedeno,CO,82.62,light rain,7.0464,-72.1634,BASE MILITAR DE GIBRALTAR
332,Caravelas,BR,75.09,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
333,Buluang,PH,77.29,few clouds,13.3068,123.3425,Enon Beach Resort
337,Itoman,JP,81.37,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
338,Weyburn,CA,80.19,few clouds,49.6668,-103.8511,Perfect Inns & Suites
339,Hasaki,JP,77.4,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
340,Idenao,CM,75.56,broken clouds,4.2475,9.0047,Moland Beach Resort
341,Mahajanga,MG,75.22,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
342,Ninghai,CN,78.51,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
343,Encheng,CN,79.2,moderate rain,22.1839,112.3026,Pinghu Hostel
344,Madang,PG,76.78,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
346,Batticaloa,LK,81.84,overcast clouds,7.7102,81.6924,Grand Star Guest House
351,Qui Nhon,VN,80.31,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
362,Sur,OM,87.15,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
365,Macklin,CA,83.12,clear sky,52.3334,-109.9348,Macklin Motor Inn
366,Grezzana,IT,85.21,clear sky,45.5203,11.0177,Residenza Borgo 27
369,Borujerd,IR,75.13,clear sky,33.8973,48.7516,Zagros Hotel
370,Kirakira,SB,77.43,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
377,Evanston,US,84.38,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
382,Sao Filipe,CV,77.77,few clouds,14.8961,-24.4956,Hotel Xaguate
384,Biak,ID,75.15,broken clouds,-0.9131,122.8766,Penginapan Kim
386,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
387,Acari,PE,75.24,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
391,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
395,Fukue,JP,77.95,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
398,Dicabisagan,PH,77.94,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
399,Iralaya,HN,87.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
406,Jinhua,CN,77.34,light rain,29.1078,119.6547,Guiyun Hotel
407,Messini,GR,87.19,clear sky,37.0511,22.0078,Hotel Drosia
408,Posse,BR,87.22,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
409,Ko Samui,TH,83.44,overcast clouds,9.5357,99.9357,Viva Vacation Resort
410,Varkkallai,IN,76.78,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
417,Kutum,SD,79.3,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
